feature	param0_importance	param1_importance	Category8	Category6
GO:0016239	0	0	GO_terms	GO_terms
GO:0016279	0	0	GO_terms	GO_terms
GO:0016301	0	0	GO_terms	GO_terms
GO:0016471	0	0	GO_terms	GO_terms
GO:0016491	0	1.22443951126263e-05	GO_terms	GO_terms
GO:0016562	0	0	GO_terms	GO_terms
GO:0016586	0	0	GO_terms	GO_terms
GO:0016620	0	0.00349172011881647	GO_terms	GO_terms
GO:0016740	0.00080471771919749	0.00030378668592521	GO_terms	GO_terms
GO:0016776	0	0	GO_terms	GO_terms
GO:0016779	0	0.00058544953017125	GO_terms	GO_terms
GO:0016787	0	0.00016330158454571	GO_terms	GO_terms
GO:0016829	0	5.66970940561224e-05	GO_terms	GO_terms
GO:0016831	0	0	GO_terms	GO_terms
GO:0016836	0	0	GO_terms	GO_terms
GO:0016857	0	0	GO_terms	GO_terms
GO:0016874	0	0.00243189510134006	GO_terms	GO_terms
GO:0016887	0	1.15595052332146e-05	GO_terms	GO_terms
GO:0016925	2.23809881864444e-05	0	GO_terms	GO_terms
GO:0017056	0	0	GO_terms	GO_terms
GO:0018455	0	0	GO_terms	GO_terms
GO:0019205	0	0	GO_terms	GO_terms
GO:0019216	0	0	GO_terms	GO_terms
GO:0019249	0	0	GO_terms	GO_terms
GO:0019318	0	0	GO_terms	GO_terms
GO:0019379	0	0	GO_terms	GO_terms
GO:0019706	0	0	GO_terms	GO_terms
GO:0019740	0	0	GO_terms	GO_terms
GO:0019773	0	0	GO_terms	GO_terms
GO:0019941	0	0	GO_terms	GO_terms
GO:0022627	0	0	GO_terms	GO_terms
GO:0022857	0	0	GO_terms	GO_terms
GO:0030048	0	0	GO_terms	GO_terms
GO:0030148	0	0	GO_terms	GO_terms
GO:0030170	0	0.0005651398773745	GO_terms	GO_terms
GO:0030234	0	0	GO_terms	GO_terms
GO:0030435	0	0	GO_terms	GO_terms
GO:0030627	0	0	GO_terms	GO_terms
GO:0030687	0	0	GO_terms	GO_terms
GO:0030976	0	0	GO_terms	GO_terms
GO:0030983	0	0	GO_terms	GO_terms
GO:0031090	0	0	GO_terms	GO_terms
GO:0031298	0	0	GO_terms	GO_terms
GO:0031314	0	0	GO_terms	GO_terms
